,Rank,Participant,Result,Event,Year
0,G,Jean BOITEUX  FRA,4.30.7,400m-freestyle-men,1952
1,S,Ford KONNO  USA,4.31.3,400m-freestyle-men,1952
2,B,Per-Olof ÖSTRAND  SWE,4.35.2,400m-freestyle-men,1952
3,4.,Peter DUNCAN  RSA,4.37.9,400m-freestyle-men,1952
4,5.,John WARDROP  GBR,4.39.9,400m-freestyle-men,1952
5,6.,Wayne MOORE  USA,4.40.1,400m-freestyle-men,1952
6,7.,James MCLANE  USA,4.40.3,400m-freestyle-men,1952
7,8.,Hironoshin FURUHASHI  JPN,4.42.1,400m-freestyle-men,1952
8,G,John DAVIES  AUS,2.34.4,200m-breaststroke-men,1952
9,S,Bowen STASSFORTH  USA,2.34.7,200m-breaststroke-men,1952
10,B,Herbert KLEIN  GER,2.35.9,200m-breaststroke-men,1952
11,4.,Nobuyasu HIRAYAMA  JPN,2.37.4,200m-breaststroke-men,1952
12,5.,Takayoshi KAJIKAWA  JPN,2.38.6,200m-breaststroke-men,1952
13,6.,Jiro NAGASAWA  JPN,2.39.1,200m-breaststroke-men,1952
14,7.,Maurice LUSIEN  FRA,2.39.8,200m-breaststroke-men,1952
15,8.,Ludevit KOMADEL  TCH,2.40.1,200m-breaststroke-men,1952
16,G,Clarke SCHOLES  USA,57.4,100m-freestyle-men,1952
17,S,Hiroshi SUZUKI  JPN,57.4,100m-freestyle-men,1952
18,B,Göran LARSSON  SWE,58.2,100m-freestyle-men,1952
19,4.,Toru GOTO  JPN,58.5,100m-freestyle-men,1952
20,5.,Géza KÁDAS  HUN,58.6,100m-freestyle-men,1952
21,6.,Rex AUBREY  AUS,58.7,100m-freestyle-men,1952
22,7.,Aldo EMINENTE  FRA,58.7,100m-freestyle-men,1952
23,8.,Ronald GORA  USA,58.8,100m-freestyle-men,1952
24,G,United States of America,8.31.1,4x200m-freestyle-relay-men,1952
25,S,Japan,8.33.5,4x200m-freestyle-relay-men,1952
26,B,France,8.45.9,4x200m-freestyle-relay-men,1952
27,4.,Sweden,8.46.8,4x200m-freestyle-relay-men,1952
28,5.,Hungary,8.52.6,4x200m-freestyle-relay-men,1952
29,6.,Great Britain,8.52.9,4x200m-freestyle-relay-men,1952
30,7.,South Africa,8.55.1,4x200m-freestyle-relay-men,1952
31,8.,Argentina,8.56.9,4x200m-freestyle-relay-men,1952
32,G,Yoshinobu OYAKAWA  USA,1.05.4,100m-backstroke-men,1952
33,S,Gilbert BOZON  FRA,1.06.2,100m-backstroke-men,1952
34,B,Jack TAYLOR  USA,1.06.4,100m-backstroke-men,1952
35,4.,Allen STACK  USA,1.07.6,100m-backstroke-men,1952
36,5.,Pedro GALVAO  ARG,1.07.7,100m-backstroke-men,1952
37,6.,Robert WARDROP  GBR,1.07.8,100m-backstroke-men,1952
38,7.,Boris SKANATA  YUG,1.08.1,100m-backstroke-men,1952
39,8.,Nicolaas Lingen MEIRING  RSA,1.08.3,100m-backstroke-men,1952
40,G,Joan HARRISON  RSA,1.14.3,100m-backstroke-women,1952
41,S,Geertje WIELEMA  NED,1.14.5,100m-backstroke-women,1952
42,B,Jean STEWART  NZL,1.15.8,100m-backstroke-women,1952
43,4.,Johanna Catharina DE KORTE  NED,1.15.8,100m-backstroke-women,1952
44,5.,Barbara Lynn STARK  USA,1.16.2,100m-backstroke-women,1952
45,6.,Gertrud HERRBRUCK  GER,1.18.0,100m-backstroke-women,1952
46,7.,Margaret Gibson MCDOWELL  GBR,1.18.4,100m-backstroke-women,1952
47,G,Hungary,4.24.4,4x100m-freestyle-relay-women,1952
48,S,Netherlands,4.29.0,4x100m-freestyle-relay-women,1952
49,B,United States of America,4.30.1,4x100m-freestyle-relay-women,1952
50,4.,Denmark,4.36.2,4x100m-freestyle-relay-women,1952
51,5.,Great Britain,4.37.8,4x100m-freestyle-relay-women,1952
52,6.,Sweden,4.39.0,4x100m-freestyle-relay-women,1952
53,7.,Germany,4.40.3,4x100m-freestyle-relay-women,1952
54,8.,France,4.44.1,4x100m-freestyle-relay-women,1952
55,G,Katalin SZOKE  HUN,1.06.8,100m-freestyle-women,1952
56,S,Johanna Maria TERMEULEN  NED,1.07.0,100m-freestyle-women,1952
57,B,Judit TEMES  HUN,1.07.1,100m-freestyle-women,1952
58,4.,Joan HARRISON  RSA,1.07.1,100m-freestyle-women,1952
59,5.,Joan ALDERSON  USA,1.07.1,100m-freestyle-women,1952
60,6.,Irma SCHUHMACHER  NED,1.07.3,100m-freestyle-women,1952
61,7.,Marilee STEPAN  USA,1.08.0,100m-freestyle-women,1952
62,8.,Angela Mary BARNWELL  GBR,1.08.6,100m-freestyle-women,1952
63,G,Valéria GYENGE  HUN,5.12.1,400m-freestyle-women,1952
64,S,Éva NOVÁK  HUN,5.13.7,400m-freestyle-women,1952
65,B,Evelyn KAWAMOTO  USA,5.14.6,400m-freestyle-women,1952
66,4.,Carolyn GREEN  USA,5.16.5,400m-freestyle-women,1952
67,5.,Ragnhild HVEGER  DEN,5.16.9,400m-freestyle-women,1952
68,6.,Eva SZEKELY  HUN,5.17.9,400m-freestyle-women,1952
69,7.,Ana Maria SCHULTZ  ARG,5.24.0,400m-freestyle-women,1952
70,8.,Greta ANDERSEN  DEN,5.27.7,400m-freestyle-women,1952
71,G,Eva SZEKELY  HUN,2.51.7,200m-breaststroke-women,1952
72,S,Éva NOVÁK  HUN,2.54.4,200m-breaststroke-women,1952
73,B,Helen GORDON  GBR,2.57.6,200m-breaststroke-women,1952
74,4.,Klara KILLERMAN BARTOS  HUN,2.57.6,200m-breaststroke-women,1952
75,5.,Jytte HANSEN  DEN,2.57.8,200m-breaststroke-women,1952
76,6.,Mariya GAVRISH  URS,2.58.9,200m-breaststroke-women,1952
77,7.,Ulla-Britt EKLUND  SWE,3.01.8,200m-breaststroke-women,1952
78,8.,Petronella Fredrika GARRITSEN  NED,3.02.1,200m-breaststroke-women,1952
79,G,George HODGSON  CAN,5.24.4,400m-freestyle-men,1912
80,S,John Gatenby HATFIELD  GBR,5.25.8,400m-freestyle-men,1912
81,B,Harold HARDWICK  ANZ,5.31.2,400m-freestyle-men,1912
82,G,Walter BATHE  GER,3.01.8,200m-breaststroke-men,1912
83,S,Wilhelm LÜTZOW  GER,3.05.0,200m-breaststroke-men,1912
84,B,Kurt Paul MALISCH  GER,3.08.0,200m-breaststroke-men,1912
85,G,Walter BATHE  GER,6.29.6,400m-breaststroke-men,1912
86,S,Thor HENNING  SWE,6.35.6,400m-breaststroke-men,1912
87,B,Percy COURTMAN  GBR,6.36.4,400m-breaststroke-men,1912
88,G,Duke KAHANAMOKU  USA,1.03.4,100m-freestyle-men,1912
89,S,Cecil HEALY  ANZ,1.04.6,100m-freestyle-men,1912
90,B,Kenneth HUSZAGH  USA,1.05.6,100m-freestyle-men,1912
91,G,Australasia (1908-1912),10.11.6,4x200m-freestyle-relay-men,1912
92,S,United States of America,10.20.2,4x200m-freestyle-relay-men,1912
93,B,Great Britain,10.28.2,4x200m-freestyle-relay-men,1912
94,G,Harry HEBNER  USA,1.21.2,100m-backstroke-men,1912
95,S,Otto FAHR  GER,1.22.4,100m-backstroke-men,1912
96,B,Paul KELLNER  GER,1.24.0,100m-backstroke-men,1912
97,4.,András BARONYI  HUN,1.25.2,100m-backstroke-men,1912
98,5.,Otto GROSS  GER,1.25.8,100m-backstroke-men,1912
99,G,Great Britain,5.52.8,4x100m-freestyle-relay-women,1912
100,S,Germany,6.04.6,4x100m-freestyle-relay-women,1912
101,B,Austria,6.17.0,4x100m-freestyle-relay-women,1912
102,G,Fanny DURACK  ANZ,1.22.2,100m-freestyle-women,1912
103,S,Wilhelmina WYLIE  ANZ,1.25.4,100m-freestyle-women,1912
104,B,Jennie FLETCHER  GBR,1.27.0,100m-freestyle-women,1912
105,G,Norman ROSS  USA,5.26.8,400m-freestyle-men,1920
106,S,Ludy LANGER  USA,5.29.0,400m-freestyle-men,1920
107,B,George VERNOT  CAN,5.29.6,400m-freestyle-men,1920
110,G,Hakan MALMROT  SWE,3.04.4,200m-breaststroke-men,1920
111,S,Thor HENNING  SWE,3.09.2,200m-breaststroke-men,1920
112,B,Arvo AALTONEN  FIN,3.12.2,200m-breaststroke-men,1920
113,G,Hakan MALMROT  SWE,6.31.8,400m-breaststroke-men,1920
114,S,Thor HENNING  SWE,6.45.2,400m-breaststroke-men,1920
115,B,Arvo AALTONEN  FIN,6.48.0,400m-breaststroke-men,1920
116,4.,Jack Zophar HOWELL  USA,6.51.0,400m-breaststroke-men,1920
117,G,Duke KAHANAMOKU  USA,1.01.4,100m-freestyle-men,1920
118,S,Pua Kela KEALOHA  USA,1.02.6,100m-freestyle-men,1920
119,B,William HARRIS  USA,1.03.0,100m-freestyle-men,1920
120,4.,William HERALD  AUS,1.03.8,100m-freestyle-men,1920
123,G,United States of America,10.04.4,4x200m-freestyle-relay-men,1920
124,S,Australia,10.25.4,4x200m-freestyle-relay-men,1920
125,B,Great Britain,10.37.2,4x200m-freestyle-relay-men,1920
126,4.,Sweden,10.50.2,4x200m-freestyle-relay-men,1920
127,G,Warren Paoa KEALOHA  USA,1.15.2,100m-backstroke-men,1920
128,S,Raymond KEGERIS  USA,1.16.8,100m-backstroke-men,1920
129,B,Gérard BLITZ  BEL,1.19.0,100m-backstroke-men,1920
130,4.,Perry MCGILLIVRAY  USA,1.19.4,100m-backstroke-men,1920
131,G,United States of America,5.11.6,4x100m-freestyle-relay-women,1920
132,S,Great Britain,5.40.8,4x100m-freestyle-relay-women,1920
133,B,Sweden,5.43.6,4x100m-freestyle-relay-women,1920
134,G,Ethelda BLEIBTREY  USA,1.13.6,100m-freestyle-women,1920
135,S,Irene GUEST  USA,1.17.0,100m-freestyle-women,1920
136,B,Frances SCHROTH  USA,1.17.2,100m-freestyle-women,1920
137,4.,Constance JEANS  GBR,1.22.8,100m-freestyle-women,1920
140,G,Ethelda BLEIBTREY  USA,4.34.0,400m-freestyle-women,1920
141,S,Margaret WOODBRIDGE  USA,4.42.8,400m-freestyle-women,1920
142,B,Frances SCHROTH  USA,4.52.0,400m-freestyle-women,1920
143,4.,Constance JEANS  GBR,4.52.4,400m-freestyle-women,1920
146,G,Johnny WEISSMULLER  USA,5.04.2,400m-freestyle-men,1924
147,S,Arne BORG  SWE,5.05.6,400m-freestyle-men,1924
148,B,Andrew CHARLTON  AUS,5.06.6,400m-freestyle-men,1924
149,4.,Åke BORG  SWE,5.26.0,400m-freestyle-men,1924
150,5.,John Gatenby HATFIELD  GBR,5.32.0,400m-freestyle-men,1924
151,G,Robert SKELTON  USA,2.56.6,200m-breaststroke-men,1924
152,S,Joseph DE COMBE  BEL,2.59.2,200m-breaststroke-men,1924
153,B,William KIRSCHBAUM  USA,3.01.0,200m-breaststroke-men,1924
154,4.,Bengt LINDERS  SWE,3.02.2,200m-breaststroke-men,1924
155,5.,Robert WYSS  SUI,3.05.6,200m-breaststroke-men,1924
156,G,Johnny WEISSMULLER  USA,0.59.0,100m-freestyle-men,1924
157,S,Duke KAHANAMOKU  USA,1.01.4,100m-freestyle-men,1924
158,B,Samuel KAHANAMOKU  USA,1.01.8,100m-freestyle-men,1924
159,4.,Arne BORG  SWE,1.02.0,100m-freestyle-men,1924
160,5.,Katsuo TAKAISHI  JPN,1.03.0,100m-freestyle-men,1924
161,G,United States of America,9.53.4,4x200m-freestyle-relay-men,1924
162,S,Australia,10.02.2,4x200m-freestyle-relay-men,1924
163,B,Sweden,10.06.8,4x200m-freestyle-relay-men,1924
164,4.,Japan,10.15.2,4x200m-freestyle-relay-men,1924
165,5.,Great Britain,10.29.4,4x200m-freestyle-relay-men,1924
166,G,Warren Paoa KEALOHA  USA,1.13.2,100m-backstroke-men,1924
167,S,Paul WYATT  USA,1.15.4,100m-backstroke-men,1924
168,B,Károly BARTHA  HUN,1.17.6,100m-backstroke-men,1924
169,4.,Gérard BLITZ  BEL,1.19.6,100m-backstroke-men,1924
170,5.,Austin RAWLINSON  GBR,1.20.0,100m-backstroke-men,1924
171,G,Sybil BAUER  USA,1.23.2,100m-backstroke-women,1924
172,S,Phyllis HARDING  GBR,1.27.4,100m-backstroke-women,1924
173,B,Aileen RIGGIN  USA,1.28.2,100m-backstroke-women,1924
174,4.,Florence CHAMBERS  USA,1.30.8,100m-backstroke-women,1924
175,5.,Jarmila MÜLLEROVA  TCH,1.31.2,100m-backstroke-women,1924
176,G,United States of America,4.58.8,4x100m-freestyle-relay-women,1924
177,S,Great Britain,5.17.0,4x100m-freestyle-relay-women,1924
178,B,Sweden,5.35.6,4x100m-freestyle-relay-women,1924
179,4.,Denmark,5.42.4,4x100m-freestyle-relay-women,1924
180,5.,France,5.43.4,4x100m-freestyle-relay-women,1924
181,6.,Netherlands,5.45.8,4x100m-freestyle-relay-women,1924
182,G,Ethel LACKIE  USA,1.12.4,100m-freestyle-women,1924
183,S,Mariechen WEHSELAU  USA,1.12.8,100m-freestyle-women,1924
184,B,Gertrude EDERLE  USA,1.14.2,100m-freestyle-women,1924
185,4.,Constance JEANS  GBR,1.15.4,100m-freestyle-women,1924
186,5.,Irene Vera TANNER  GBR,1.20.8,100m-freestyle-women,1924
187,G,Martha NORELIUS  USA,6.02.2,400m-freestyle-women,1924
188,S,Helen WAINWRIGHT  USA,6.03.8,400m-freestyle-women,1924
189,B,Gertrude EDERLE  USA,6.04.8,400m-freestyle-women,1924
190,4.,Doris MOLESWORTH  GBR,6.25.4,400m-freestyle-women,1924
191,G,Lucy MORTON  GBR,3.33.2,200m-breaststroke-women,1924
192,S,Agnes GERAGHTY  USA,3.34.0,200m-breaststroke-women,1924
193,B,Gladys CARSON  GBR,3.35.4,200m-breaststroke-women,1924
194,4.,Wivan PETTERSSON  SWE,3.37.6,200m-breaststroke-women,1924
195,5.,Irene GILBERT  GBR,3.38.0,200m-breaststroke-women,1924
196,6.,Laure KOSTER  LUX,3.39.2,200m-breaststroke-women,1924
197,7.,Hjördis TÖPEL  SWE,3.47.6,200m-breaststroke-women,1924
198,G,Danyon LOADER  NZL,3.47.97,400m-freestyle-men,1996
199,S,Paul PALMER  GBR,3.49.00,400m-freestyle-men,1996
200,B,Daniel KOWALSKI  AUS,3.49.39,400m-freestyle-men,1996
201,4.,Emiliano BREMBILLA  ITA,3.49.87,400m-freestyle-men,1996
202,5.,Anders HOLMERTZ  SWE,3.50.68,400m-freestyle-men,1996
203,6.,Massimiliano ROSOLINO  ITA,3.51.04,400m-freestyle-men,1996
204,7.,Jörg HOFFMANN  GER,3.52.15,400m-freestyle-men,1996
205,8.,Jacob CARSTENSEN  DEN,3.54.45,400m-freestyle-men,1996
206,G,Norbert RÓZSA  HUN,2.12.57,200m-breaststroke-men,1996
207,S,Károly GUTTLER  HUN,2.13.03,200m-breaststroke-men,1996
208,B,Andrey KORNEYEV  RUS,2.13.17,200m-breaststroke-men,1996
209,4.,Nick GILLINGHAM  GBR,2.14.37,200m-breaststroke-men,1996
210,5.,Phil ROGERS  AUS,2.14.79,200m-breaststroke-men,1996
211,6.,Marek KRAWCZYK  POL,2.14.84,200m-breaststroke-men,1996
212,7.,Eric WUNDERLICH  USA,2.15.69,200m-breaststroke-men,1996
213,8.,Kurt GROTE  USA,2.16.05,200m-breaststroke-men,1996
214,G,Denis PANKRATOV  RUS,52.27,100m-butterfly-men,1996
215,S,Scott MILLER  AUS,52.53,100m-butterfly-men,1996
216,B,Vladislav KULIKOV  RUS,53.13,100m-butterfly-men,1996
217,4.,Chengji JIANG  CHN,53.2,100m-butterfly-men,1996
218,5.,Rafal SZUKALA  POL,53.29,100m-butterfly-men,1996
219,6.,Michael KLIM  AUS,53.3,100m-butterfly-men,1996
220,7.,Stephen CLARKE  CAN,53.33,100m-butterfly-men,1996
221,8.,Pavlo KHNYKIN  UKR,53.58,100m-butterfly-men,1996
222,G,Denis PANKRATOV  RUS,1.56.51,200m-butterfly-men,1996
223,S,Tom MALCHOW  USA,1.57.44,200m-butterfly-men,1996
224,B,Scott GOODMAN  AUS,1.57.48,200m-butterfly-men,1996
225,4.,Franck ESPOSITO  FRA,1.58.10,200m-butterfly-men,1996
226,5.,Scott MILLER  AUS,1.58.28,200m-butterfly-men,1996
227,6.,Denys SYLANT'YEV  UKR,1.58.37,200m-butterfly-men,1996
228,7.,James HICKMAN  GBR,1.58.47,200m-butterfly-men,1996
229,8.,Péter HORVÁTH  HUN,1.59.12,200m-butterfly-men,1996
230,G,United States of America,3.34.84,4x100m-medley-relay-men,1996
231,S,Russian Federation,3.37.55,4x100m-medley-relay-men,1996
232,B,Australia,3.39.56,4x100m-medley-relay-men,1996
233,4.,Germany,3.39.64,4x100m-medley-relay-men,1996
234,5.,Japan,3.40.51,4x100m-medley-relay-men,1996
235,6.,Hungary,3.40.84,4x100m-medley-relay-men,1996
236,7.,Poland,3.41.94,4x100m-medley-relay-men,1996
237,8.,Israel,3.42.90,4x100m-medley-relay-men,1996
238,G,Alexander POPOV  RUS,48.74,100m-freestyle-men,1996
239,S,Gary Jr. HALL  USA,48.81,100m-freestyle-men,1996
240,B,Gustavo BORGES  BRA,49.02,100m-freestyle-men,1996
241,4.,Pieter VAN DEN HOOGENBAND  NED,49.13,100m-freestyle-men,1996
242,5.,Fernando SCHERER  BRA,49.57,100m-freestyle-men,1996
243,6.,Pavlo KHNYKIN  UKR,49.65,100m-freestyle-men,1996
244,7.,Ricardo BUSQUETS  PUR,49.68,100m-freestyle-men,1996
245,8.,Francisco SANCHEZ  VEN,49.84,100m-freestyle-men,1996
246,G,United States of America,7.14.84,4x200m-freestyle-relay-men,1996
247,S,Sweden,7.17.56,4x200m-freestyle-relay-men,1996
248,B,Germany,7.17.71,4x200m-freestyle-relay-men,1996
249,4.,Australia,7.18.47,4x200m-freestyle-relay-men,1996
250,5.,Great Britain,7.18.74,4x200m-freestyle-relay-men,1996
251,6.,Italy,7.19.92,4x200m-freestyle-relay-men,1996
252,7.,Netherlands,7.21.96,4x200m-freestyle-relay-men,1996
253,8.,France,7.24.85,4x200m-freestyle-relay-men,1996
254,G,Alexander POPOV  RUS,22.13,50m-freestyle-men,1996
255,S,Gary Jr. HALL  USA,22.26,50m-freestyle-men,1996
256,B,Fernando SCHERER  BRA,22.29,50m-freestyle-men,1996
257,4.,Chengji JIANG  CHN,22.33,50m-freestyle-men,1996
258,5.,Brendon DEDEKIND  RSA,22.59,50m-freestyle-men,1996
259,6.,David FOX  USA,22.68,50m-freestyle-men,1996
260,7.,Francisco SANCHEZ  VEN,22.72,50m-freestyle-men,1996
261,8.,Ricardo BUSQUETS  PUR,22.73,50m-freestyle-men,1996
262,1.0,Keitaro KONNAI  JPN,55.74,100m-backstroke-men,1996
263,2.0,Neil WILLEY  GBR,56.07,100m-backstroke-men,1996
264,3.0,Hajime ITOI  JPN,56.23,100m-backstroke-men,1996
265,4.0,Mariusz SIEMBIDA  POL,56.31,100m-backstroke-men,1996
266,5.0,Darius GRIGALIONIS  LTU,56.33,100m-backstroke-men,1996
267,6.0,Stev THELOKE  GER,56.63,100m-backstroke-men,1996
268,7.0,Steven DEWICK  AUS,56.82,100m-backstroke-men,1996
269,8.0,Robert BRAKNIS  CAN,57.0,100m-backstroke-men,1996
270,1.0,Nina ZHIVANEVSKAYA  RUS,1.02.38,100m-backstroke-women,1996
271,2.0,Anke SCHOLZ  GER,1.02.85,100m-backstroke-women,1996
272,3.0,Lydia LIPSCOMBE  NZL,1.03.30,100m-backstroke-women,1996
273,4.0,Olga KOCHETKOVA  RUS,1.03.52,100m-backstroke-women,1996
274,5.0,Helen SLATTER  GBR,1.03.61,100m-backstroke-women,1996
275,6.0,Elli OVERTON  AUS,1.03.69,100m-backstroke-women,1996
276,7.0,Julie HOWARD  CAN,1.04.01,100m-backstroke-women,1996
277,8.0,Therese ALSHAMMAR  SWE,1.04.15,100m-backstroke-women,1996
278,G,Krisztina EGERSZEGI  HUN,2.07.83,200m-backstroke-women,1996
279,S,Whitney HEDGEPETH  USA,2.11.98,200m-backstroke-women,1996
280,B,Cathleen RUND  GER,2.12.06,200m-backstroke-women,1996
281,4.,Anke SCHOLZ  GER,2.12.90,200m-backstroke-women,1996
282,5.,Miki NAKAO  JPN,2.13.57,200m-backstroke-women,1996
283,6.,Anna SIMCIC  NZL,2.14.04,200m-backstroke-women,1996
284,7.,Lorenza VIGARANI  ITA,2.14.56,200m-backstroke-women,1996
285,G,United States of America,4.02.88,4x100m-medley-relay-women,1996
286,S,Australia,4.05.08,4x100m-medley-relay-women,1996
287,B,People's Republic of China,4.07.34,4x100m-medley-relay-women,1996
288,4.,South Africa,4.08.16,4x100m-medley-relay-women,1996
289,5.,Canada,4.08.29,4x100m-medley-relay-women,1996
290,6.,Germany,4.09.22,4x100m-medley-relay-women,1996
291,7.,Russian Federation,4.10.56,4x100m-medley-relay-women,1996
292,8.,Italy,4.10.59,4x100m-medley-relay-women,1996
293,G,Amy VAN DYKEN  USA,24.87,50m-freestyle-women,1996
294,S,Jingyi LE  CHN,24.9,50m-freestyle-women,1996
295,B,Sandra VÖLKER  GER,25.14,50m-freestyle-women,1996
296,4.,Angel MARTINO  USA,25.31,50m-freestyle-women,1996
297,5.,Leah MARTINDALE  BAR,25.49,50m-freestyle-women,1996
298,6.,Linda OLOFSSON  SWE,25.63,50m-freestyle-women,1996
299,7.,Ying SHAN  CHN,25.7,50m-freestyle-women,1996
300,8.,Natalya MESHCHERYAKOVA  RUS,25.88,50m-freestyle-women,1996
301,1.0,Aimo HEILMANN  GER,1.48.81,200m-freestyle-men,1996
302,2.0,Michael KLIM  AUS,1.49.50,200m-freestyle-men,1996
303,3.0,Vladimir PYSHNENKO  RUS,1.49.55,200m-freestyle-men,1996
304,4.0,John PIERSMA  USA,1.49.90,200m-freestyle-men,1996
305,5.0,Piermaria SICILIANO  ITA,1.50.07,200m-freestyle-men,1996
306,6.0,Jacob CARSTENSEN  DEN,1.50.54,200m-freestyle-men,1996
307,7.0,Andrew CLAYTON  GBR,1.50.59,200m-freestyle-men,1996
308,8.0,Nicolae BUTACU  ROU,1.51.46,200m-freestyle-men,1996
309,G,United States of America,3.15.41,4x100m-freestyle-relay-men,1996
310,S,Russian Federation,3.17.06,4x100m-freestyle-relay-men,1996
311,B,Germany,3.17.20,4x100m-freestyle-relay-men,1996
312,4.,Brazil,3.18.30,4x100m-freestyle-relay-men,1996
313,5.,Netherlands,3.19.02,4x100m-freestyle-relay-men,1996
314,6.,Australia,3.20.13,4x100m-freestyle-relay-men,1996
315,7.,Sweden,3.20.16,4x100m-freestyle-relay-men,1996
316,8.,Great Britain,3.21.52,4x100m-freestyle-relay-men,1996
317,G,Brad BRIDGEWATER  USA,1.58.54,200m-backstroke-men,1996
318,S,Tripp SCHWENK  USA,1.58.99,200m-backstroke-men,1996
319,B,Emanuele MERISI  ITA,1.59.18,200m-backstroke-men,1996
320,4.,Bartosz SIKORA  POL,2.00.05,200m-backstroke-men,1996
321,5.,Hajime ITOI  JPN,2.00.10,200m-backstroke-men,1996
322,6.,Martin LÓPEZ-ZUBERO  ESP,2.00.74,200m-backstroke-men,1996
323,7.,Mirko MAZZARI  ITA,2.01.27,200m-backstroke-men,1996
324,8.,Rodolfo FALCON  CUB,2.08.14,200m-backstroke-men,1996
325,1.0,Christian KELLER  GER,2.02.90,200m-individual-medley-men,1996
326,2.0,Martin VAN DER SPOEL  NED,2.03.01,200m-individual-medley-men,1996
327,3.0,Luca SACCHI  ITA,2.03.49,200m-individual-medley-men,1996
328,4.0,Stev THELOKE  GER,2.03.94,200m-individual-medley-men,1996
329,5.0,Serguei MARINIOUK  MDA,2.04.11,200m-individual-medley-men,1996
330,6.0,Tatsuya KINUGASA  JPN,2.04.59,200m-individual-medley-men,1996
331,7.0,Ratapong SIRISANONT  THA,2.05.02,200m-individual-medley-men,1996
332,8.0,Jo YOSHIMI  JPN,2.05.42,200m-individual-medley-men,1996
333,1.0,Frederik HVIID  ESP,4.22.47,400m-individual-medley-men,1996
334,2.0,Toshiaki KURASAWA  JPN,4.23.36,400m-individual-medley-men,1996
335,3.0,Tatsuya KINUGASA  JPN,4.24.25,400m-individual-medley-men,1996
336,4.0,Ratapong SIRISANONT  THA,4.26.35,400m-individual-medley-men,1996
337,5.0,Alejandro BERMUDEZ  COL,4.26.64,400m-individual-medley-men,1996
338,6.0,Josef HORKY  CZE,4.28.39,400m-individual-medley-men,1996
339,7.0,Trent STEED  AUS,4.29.35,400m-individual-medley-men,1996
340,G,United States of America,3.39.29,4x100m-freestyle-relay-women,1996
341,S,People's Republic of China,3.40.48,4x100m-freestyle-relay-women,1996
342,B,Germany,3.41.48,4x100m-freestyle-relay-women,1996
343,4.,Netherlands,3.42.40,4x100m-freestyle-relay-women,1996
344,5.,Sweden,3.44.91,4x100m-freestyle-relay-women,1996
345,6.,Australia,3.45.31,4x100m-freestyle-relay-women,1996
346,7.,Canada,3.46.27,4x100m-freestyle-relay-women,1996
347,1.0,Ying SHAN  CHN,55.74,100m-freestyle-women,1996
348,2.0,Linda OLOFSSON  SWE,55.83,100m-freestyle-women,1996
349,3.0,Luminita DOBRESCU  ROU,55.98,100m-freestyle-women,1996
350,4.0,Leah MARTINDALE  BAR,56.03,100m-freestyle-women,1996
351,5.0,Natalya MESHCHERYAKOVA  RUS,56.17,100m-freestyle-women,1996
352,6.0,Karen PICKERING  GBR,56.32,100m-freestyle-women,1996
353,7.0,Martina MORAVCOVA  SVK,56.47,100m-freestyle-women,1996
354,8.0,Susan ROLPH  GBR,56.58,100m-freestyle-women,1996
355,1.0,Sophia SKOU  DEN,2.12.41,200m-butterfly-women,1996
356,2.0,Cecile JEANSON  FRA,2.12.99,200m-butterfly-women,1996
357,3.0,Maria PELAEZ  ESP,2.13.05,200m-butterfly-women,1996
358,4.0,Annette SALMEEN  USA,2.13.64,200m-butterfly-women,1996
359,4.0,Anna URYNIUK  POL,2.13.64,200m-butterfly-women,1996
360,6.0,Hitomi KASHIMA  JPN,2.13.97,200m-butterfly-women,1996
361,7.0,Andrea SCHWARTZ  CAN,2.14.07,200m-butterfly-women,1996
362,8.0,Barbara FRANCO  ESP,2.14.16,200m-butterfly-women,1996
363,1.0,Joanne MALAR  CAN,4.46.34,400m-individual-medley-women,1996
364,2.0,Hana CERNA  CZE,4.46.78,400m-individual-medley-women,1996
365,3.0,Nancy SWEETNAM  CAN,4.47.55,400m-individual-medley-women,1996
366,4.0,Fumie KUROTORI  JPN,4.47.98,400m-individual-medley-women,1996
367,5.0,Hideko HIRANAKA  JPN,4.48.72,400m-individual-medley-women,1996
368,6.0,Elli OVERTON  AUS,4.50.73,400m-individual-medley-women,1996
369,7.0,Yseult GERVY  BEL,4.52.89,400m-individual-medley-women,1996
370,8.0,Pavla CHRASTOVA  CZE,4.56.23,400m-individual-medley-women,1996
371,G,Claudia POLL  CRC,1.58.16,200m-freestyle-women,1996
372,S,Franziska VAN ALMSICK  GER,1.58.57,200m-freestyle-women,1996
373,B,Dagmar HASE  GER,1.59.56,200m-freestyle-women,1996
374,4.,Trina JACKSON  USA,1.59.57,200m-freestyle-women,1996
375,5.,Susan O'NEILL  AUS,1.59.87,200m-freestyle-women,1996
376,6.,Cristina TEUSCHER  USA,2.00.79,200m-freestyle-women,1996
377,7.,Julia GREVILLE  AUS,2.01.46,200m-freestyle-women,1996
378,8.,Luminita DOBRESCU  ROU,2.01.63,200m-freestyle-women,1996
381,1.0,Sarah HARDCASTLE  GBR,4.14.13,400m-freestyle-women,1996
382,2.0,Sandra CAM  BEL,4.14.94,400m-freestyle-women,1996
383,3.0,Chi-Chan LIN  TPE,4.15.74,400m-freestyle-women,1996
384,4.0,Emma JOHNSON  AUS,4.15.79,400m-freestyle-women,1996
385,5.0,Suzu CHIBA  JPN,4.16.60,400m-freestyle-women,1996
